size_group,estimand,radius,metric,n_rows,estimate,ci_low,ci_high
s_16_32,o2m_pre_topk,0.0625,mean_retention_among_rank_changed,1252,0.9420411227207292,0.9340595339965306,0.9494942635024933
s_16_32,o2m_assigned_positive,0.0625,rank_changed_rate,3934,0.3176583120580179,0.28223938196388704,0.3497684723549006
s_16_32,o2m_assigned_positive,0.0625,set_exact_changed_rate,3934,0.47635451067375667,0.4600968556346862,0.4909700075620662
s_16_32,o2m_assigned_positive,0.0625,rank_changed_set_exact_same_rate,3934,0.1601189348441382,0.13847420830923446,0.18185730114945736
s_16_32,o2m_assigned_positive,0.0625,rank_minus_set_exact_change_rate,3934,-0.15869619861573867,-0.1973381944937546,-0.12162213141412617
s_16_32,o2m_assigned_positive,0.0625,mean_jaccard,3934,0.8704346660083286,0.8639208515415706,0.8771878134536206
s_16_32,o2m_assigned_positive,0.0625,mean_retention,3934,0.946410836347592,0.9424602945278636,0.9504190404641835
s_16_32,o2m_assigned_positive,0.0625,mean_jaccard_among_rank_changed,1250,0.8653426097308194,0.8506171923526487,0.8799014940068337
s_16_32,o2m_assigned_positive,0.0625,mean_retention_among_rank_changed,1250,0.9411478878391304,0.9331428393174658,0.94891354830585
all,o2m_legacy,0.1,rank_changed_rate,1,1.0,1.0,1.0
all,o2m_legacy,0.1,set_exact_changed_rate,1,0.0,0.0,0.0
all,o2m_legacy,0.1,rank_changed_set_exact_same_rate,1,1.0,1.0,1.0
all,o2m_legacy,0.1,rank_minus_set_exact_change_rate,1,1.0,1.0,1.0
all,o2m_legacy,0.1,mean_jaccard,1,1.0,1.0,1.0
all,o2m_legacy,0.1,mean_retention,1,1.0,1.0,1.0
all,o2m_legacy,0.1,mean_jaccard_among_rank_changed,1,1.0,1.0,1.0
all,o2m_legacy,0.1,mean_retention_among_rank_changed,1,1.0,1.0,1.0
all,o2m_pre_topk,0.1,rank_changed_rate,1,1.0,1.0,1.0
all,o2m_pre_topk,0.1,set_exact_changed_rate,1,0.0,0.0,0.0
all,o2m_pre_topk,0.1,rank_changed_set_exact_same_rate,1,1.0,1.0,1.0
all,o2m_pre_topk,0.1,rank_minus_set_exact_change_rate,1,1.0,1.0,1.0
all,o2m_pre_topk,0.1,mean_jaccard,1,1.0,1.0,1.0
