image_id,size_bin,sampling_weight,o2o_base_margin,rho_R_event_observed,rho_R_radius
1216__2093_1200,t_8_16,44.130434782608695,0.4238770318889099,1,0.0458984375
1216__2093_1200,t_8_16,44.130434782608695,0.5889712392817861,1,0.0888671875
1216__2093_1200,t_8_16,44.130434782608695,0.5889712392817861,1,0.208984375
1216__2093_1200,t_8_16,44.130434782608695,0.8602497292729318,1,0.0986328125
1216__2093_1200,t_8_16,44.130434782608695,0.7266618037704886,1,0.080078125
1216__2093_1200,t_8_16,44.130434782608695,0.7354329985570001,1,0.0615234375
1216__2093_1200,t_8_16,44.130434782608695,0.8326147754111626,1,0.1611328125
1216__2093_1200,t_8_16,44.130434782608695,0.955830806767651,1,0.25
1216__2093_1200,t_8_16,44.130434782608695,0.4799060820676315,1,0.068359375
1216__2093_1200,t_8_16,44.130434782608695,0.4821455816358039,1,0.0390625
1216__2093_1200,t_8_16,44.130434782608695,0.4821455816358039,1,0.0478515625
1216__2093_1200,t_8_16,44.130434782608695,0.9994501032282138,1,0.2314453125
1216__2093_1200,t_8_16,44.130434782608695,0.3208829625483458,1,0.10546875
1216__2093_1200,t_8_16,44.130434782608695,0.3208829625483458,1,0.2275390625
1216__2093_1200,t_8_16,44.130434782608695,0.3208829625483458,1,0.0390625
1216__2093_1200,t_8_16,44.130434782608695,0.9116745222712932,1,0.2490234375
1216__2093_1200,t_8_16,44.130434782608695,0.5547759539911387,1,0.048828125
1216__2093_1200,t_8_16,44.130434782608695,0.5547759539911387,1,0.1796875
1216__2093_1200,t_8_16,44.130434782608695,0.9743324941202314,1,0.115234375
1216__2093_1200,t_8_16,44.130434782608695,0.6768986571234435,1,0.0859375
1216__2093_1200,t_8_16,44.130434782608695,0.998647138441362,1,0.1630859375
1216__2093_1200,t_8_16,44.130434782608695,0.0298733753106103,1,0.0029296875
1216__2093_1200,t_8_16,44.130434782608695,0.0298733753106103,1,0.0029296875
1216__2093_1200,t_8_16,44.130434782608695,0.214634934643058,1,0.0283203125
1216__2093_1200,t_8_16,44.130434782608695,0.214634934643058,1,0.013671875
1216__2093_1200,t_8_16,44.130434782608695,0.5153587278747072,1,0.11328125
1216__2093_1200,t_8_16,44.130434782608695,0.0458084129112159,1,0.0029296875
1216__2093_1200,t_8_16,44.130434782608695,0.0458084129112159,1,0.00390625
1216__2093_1200,t_8_16,44.130434782608695,0.6830544631928258,1,0.0751953125
1216__2093_1200,t_8_16,44.130434782608695,0.9842293891403058,1,0.1826171875
1216__2093_1200,t_8_16,44.130434782608695,0.3230549869116707,1,0.1328125
1216__2093_1200,t_8_16,44.130434782608695,0.3230549869116707,1,0.033203125
1216__2093_1200,t_8_16,44.130434782608695,0.8295540837769234,1,0.0771484375
1216__2093_1200,t_8_16,44.130434782608695,0.7184402582838332,1,0.1904296875
1233__0_1928,t_8_16,44.130434782608695,0.471322215560899,1,0.0673828125
1233__0_1928,t_8_16,44.130434782608695,0.9653530674568196,1,0.1494140625
1233__0_1928,t_8_16,44.130434782608695,0.1053047451220371,1,0.00390625
1233__0_1928,t_8_16,44.130434782608695,0.1053047451220371,1,0.0478515625
1233__0_1928,t_8_16,44.130434782608695,0.447807957782567,1,0.0322265625
1233__0_1928,t_8_16,44.130434782608695,0.447807957782567,1,0.0615234375
1233__0_1928,t_8_16,44.130434782608695,0.1372926631328998,1,0.009765625
1233__0_1928,t_8_16,44.130434782608695,0.1372926631328998,1,0.0322265625
1233__0_1928,t_8_16,44.130434782608695,0.6362727783331599,1,0.1923828125
1233__0_1928,t_8_16,44.130434782608695,0.7324407519288825,1,0.2080078125
1233__0_1928,t_8_16,44.130434782608695,0.7324407519288825,1,0.1787109375
