authority,ci_high,ci_low,directional_trajectories,estimand,estimate,evidence_id,evidence_version,image_n,kind,metric,n_base_defined,n_base_undefined_excluded,panel,radius,series,size_group,size_label,source_path,source_sha256,statistical_unit,support,tau,unit,weighted_n
final_evidence_v3_bound_output,0.9729546293384214,0.9659769012366868,,o2o,0.9694834691605712,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0498046875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9727499334060654,0.96565325853342,,o2o,0.9692436596076318,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.05078125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9724074185750528,0.9653672188962268,,o2o,0.968923751432692,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0517578125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9718941337828542,0.9647317554839816,,o2o,0.9684040830158132,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.052734375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9715168264990384,0.9642145929767114,,o2o,0.9679640269078728,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0537109375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.971093764535712,0.963664538950698,,o2o,0.9674841646454632,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0546875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9709205788275383,0.9633204666353948,,o2o,0.9672040626249928,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0556640625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.970756735573348,0.963043490917328,,o2o,0.9669644962285846,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.056640625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9704647340068532,0.9627477111459856,,o2o,0.9666846373646452,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0576171875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.970146794783738,0.9622173850882756,,o2o,0.966284873724236,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.05859375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
